epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,264.12,0.57924,3.29802,1.06185,0.00064,0.00417,0.00033,0.00032,0.19774,265.628,0.49817,0.00332,0.00332,0.00332
2,520.401,0.44665,1.46055,0.96502,0.01611,0.05874,0.01176,0.01114,0.22219,579.591,0.48523,0.00658747,0.00658747,0.00658747
3,776.537,0.52066,1.27599,1.00288,0.00294,0.00142,0.00149,0.00127,0.25086,396.095,0.51333,0.00978893,0.00978893,0.00978893
4,1032.25,0.54189,1.20703,1.01546,0.01758,0.0743,0.01275,0.01253,0.24621,289.402,0.50825,0.009703,0.009703,0.009703
5,1288.13,0.49841,1.0251,0.98765,0.01732,0.02144,0.01393,0.013,0.19331,446.489,0.4959,0.009604,0.009604,0.009604
6,1543.91,0.46013,0.89527,0.96429,0.02396,0.058,0.02497,0.02386,0.1792,510.987,0.46799,0.009505,0.009505,0.009505
7,1799.45,0.44478,0.83335,0.95766,0,0,0,0,0.18798,388.669,0.4723,0.009406,0.009406,0.009406
8,2054.61,0.41779,0.7615,0.94372,0.00826,0.01169,0.00443,0.00426,0.16824,429.482,0.46935,0.009307,0.009307,0.009307
9,2310.12,0.41177,0.73119,0.94261,0.01023,0.01935,0.00613,0.00566,0.17446,398.128,0.47323,0.009208,0.009208,0.009208
10,2565.72,0.4047,0.70766,0.93879,0.00019,0.00071,0.0001,0.0001,0.15744,488.713,0.46828,0.009109,0.009109,0.009109
11,2821.06,0.39155,0.66998,0.93043,0.00545,0.00323,0.00282,0.00272,0.17688,497.662,0.48458,0.00901,0.00901,0.00901
12,3076.36,0.38295,0.64394,0.9241,0.02211,0.02258,0.01422,0.01313,0.20753,441.52,0.49545,0.008911,0.008911,0.008911
13,3332.19,0.37095,0.61217,0.91725,0,0,0,0,0.16301,476.266,0.47417,0.008812,0.008812,0.008812
14,3588.02,0.36868,0.60794,0.91758,0,0,0,0,0.15788,426.643,0.47081,0.008713,0.008713,0.008713
15,3843.93,0.36509,0.5855,0.91632,0.01,0.03759,0.00689,0.00689,0.16056,429.226,0.46879,0.008614,0.008614,0.008614
16,4099.18,0.35479,0.57064,0.91009,0.00101,0.00284,0.00052,0.00052,0.15094,517.106,0.47009,0.008515,0.008515,0.008515
17,4354.67,0.34995,0.56166,0.90761,0,0,0,0,0.24488,425.25,0.55113,0.008416,0.008416,0.008416
18,4610.08,0.34751,0.54422,0.90841,0.0027,0.00108,0.00139,0.00139,0.15242,485.65,0.46804,0.008317,0.008317,0.008317
19,4865.61,0.34148,0.53472,0.90736,0,0,0,0,0.15842,551.786,0.46705,0.008218,0.008218,0.008218
20,5121.67,0.34082,0.5381,0.90331,0,0,0,0,0.1469,478.989,0.46668,0.008119,0.008119,0.008119
21,5377.39,0.34035,0.53338,0.90503,0.00575,0.00922,0.00316,0.00316,0.14375,514.258,0.46435,0.00802,0.00802,0.00802
22,5633.57,0.33533,0.51633,0.90266,0,0,0,0,0.1424,524.902,0.46231,0.007921,0.007921,0.007921
23,5889.03,0.32915,0.51818,0.90286,0,0,0,0,0.14501,492.728,0.46364,0.007822,0.007822,0.007822
24,6144.6,0.32991,0.50843,0.90155,0,0,0,0,0.24146,529.501,0.53477,0.007723,0.007723,0.007723
25,6400.22,0.32147,0.49485,0.89656,0.00117,0.00142,0.00059,0.00059,0.1792,524.637,0.49179,0.007624,0.007624,0.007624
26,6656.5,0.32014,0.48764,0.89376,0,0,0,0,0.1472,506.296,0.46619,0.007525,0.007525,0.007525
